ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"504.10714"	"4.29e+04"	B	"0.95815732"	"3.41695281"	7	5		
"504.17555"	"2.35e+05"	B	"1.48486439"	"3.94332623"	9	7		
"504.42106"	"2.29e+05"	B	"2.85122419"	"5.30848946"	9	11		
"504.84356"	"4.88e+06"	B	"3.95972364"	"6.41493251"	3	5		
"504.98193"	"1.65e+06"	B	"2.27860466"	"4.73314079"	5	7		
"505.16343"	"4.65e+04"	A	"0.91460217"	"3.36825640"	9	9		
"505.46423"	"4.47e+05"	C+	"3.63977237"	"6.09196644"	5	7		
"505.59926"	"3.0e+05"	E	"4.31247059"	"6.76400977"	11	9		
"505.68414"	"1.0e+06"	E	"4.26045326"	"6.71158094"	3	3		
"506.00782"	"1.38e+02"	C+	"0.0000000"	"2.44955978"	9	7		
"506.51925"	"8.86e+05"	D+	"3.64164057"	"6.08872711"	7	9		
"506.87656"	"3.37e+06"	B+	"2.93984587"	"5.38520741"	9	7		
"507.47476"	"1.4e+07"	D	"4.22036211"	"6.66284114"	9	11		
"507.92223"	"7.38e+05"	B	"2.19786640"	"4.63819369"	5	3		
"507.97395"	"5.19e+04"	A	"0.99011115"	"3.43018998"	5	3		
"508.09353"	"1.8e+04"	E	"3.26711257"	"5.70661711"	11	13		
"508.33380"	"4.06e+04"	A	"0.95815732"	"3.39650880"	7	7		
"508.81526"	"5.1e+05"	D	"4.15435379"	"6.59039805"	7	9		
"509.07727"	"1.9e+07"	D	"4.25622280"	"6.69101333"	7	5		
"509.86981"	"4.83e+05"	D+	"2.17594512"	"4.60695104"	7	5		
"509.90768"	"2.79e+06"	B	"3.98410712"	"6.41493251"	5	5		
"510.40302"	"5.7e+04"	E	"3.01725044"	"5.44571679"	5	7		
"510.41891"	"2.7e+05"	E	"4.17769679"	"6.60608750"	11	11		
"510.44372"	"1.8e+06"	E	"4.28330826"	"6.71158094"	5	3		
"510.74472"	"4.18e+04"	A	"0.99011115"	"3.41695281"	5	5		
"510.76406"	"1.95e+05"	A	"1.55735733"	"3.98410712"	7	5		
"511.03580"	"9.99e+05"	B	"3.57321890"	"5.99867825"	11	11		
"511.04129"	"4.93e+03"	A	"0.0000000"	"2.42543332"	9	9		
"511.57768"	"5.8e+04"	E	"3.57321890"	"5.99610917"	11	9		
"512.16386"	"7.9e+06"	D	"4.28330826"	"6.70342551"	5	5		
"512.37197"	"7.24e+04"	A	"1.01105568"	"3.43018998"	3	3		
"512.61922"	"3.2e+06"	E	"4.25622280"	"6.67419029"	7	7		
"512.73588"	"1.14e+04"	A	"0.91460217"	"3.33201954"	9	11		
"512.76807"	"3.80e+01"	A	"0.05156912"	"2.46883473"	7	5		
"512.96311"	"5.5e+05"	E	"3.94332623"	"6.35967275"	7	7		
"513.14679"	"2.58e+05"	D+	"2.22271209"	"4.63819369"	3	3		
"513.60915"	"6.8e+05"	E	"4.18636440"	"6.59967157"	5	3		
"513.73814"	"1.0e+07"	D	"4.17769679"	"6.59039805"	11	9		
"513.92504"	"9.16e+06"	B+	"2.99804479"	"5.40986861"	7	5		
"513.94620"	"8.69e+06"	B+	"2.93984587"	"5.35157038"	9	9		
"514.17385"	"4.86e+05"	D	"2.42419831"	"4.83485507"	3	3		
"514.29283"	"2.40e+04"	D+	"0.95815732"	"3.36825640"	7	9		
"514.37226"	"7.3e+03"	E	"2.19786640"	"4.60759327"	5	7		
"514.50939"	"6.70e+04"	D+	"2.19786640"	"4.60695104"	5	5		
"514.63070"	"2.7e+05"	E	"4.37135106"	"6.77986785"	9	9		
"515.08390"	"3.30e+04"	C	"0.99011115"	"3.39650880"	5	7		
"515.19106"	"2.39e+04"	A	"1.01105568"	"3.41695281"	3	5		
"515.41003"	"4.43e+05"	C+	"3.88160368"	"6.28647868"	9	11		
"516.45514"	"1.6e+06"	E	"4.43461275"	"6.83462125"	9	7		
"516.62817"	"1.45e+03"	A	"0.0000000"	"2.39920471"	9	11		
"516.74879"	"2.72e+06"	B+	"1.48486439"	"3.88350907"	9	7		
"516.88973"	"3.83e+03"	A	"0.05156912"	"2.44955978"	7	7		
"517.15961"	"4.46e+05"	A	"1.48486439"	"3.88160368"	9	9		
"517.72327"	"1.2e+05"	E	"3.69459719"	"6.08872711"	9	9		
"517.88006"	"4.2e+05"	E	"4.38646275"	"6.77986785"	11	9		
"518.42658"	"3.8e+06"	D	"4.28330826"	"6.67419029"	5	7		
"518.79142"	"2.11e+06"	C+	"4.14264893"	"6.53184961"	7	5		
"519.14542"	"2.32e+07"	B	"3.03847046"	"5.42604198"	5	3		
"519.23434"	"1.34e+07"	B+	"2.99804479"	"5.38520741"	7	7		
"519.49412"	"2.87e+05"	A	"1.55735733"	"3.94332623"	7	7		
"519.79354"	"2.0e+06"	E	"4.30127816"	"6.68587270"	3	3		
"519.87106"	"3.62e+05"	B	"2.22271209"	"4.60695104"	3	5		
"520.23355"	"5.11e+05"	B	"2.17594512"	"4.55852281"	7	7		
"520.45826"	"2.29e+03"	A	"0.08728574"	"2.46883473"	5	5		
"520.79381"	"3.2e+05"	E	"3.63521992"	"6.01523448"	3	3		
"520.85937"	"6.23e+06"	B	"3.24096914"	"5.62068415"	7	5		
"521.51801"	"1.10e+07"	B	"3.26570610"	"5.64241573"	5	3		
"521.62737"	"3.47e+05"	A	"1.60789577"	"3.98410712"	5	5		
"521.73891"	"2.41e+06"	B	"3.21118938"	"5.58689276"	9	7		
"521.79190"	"1.56e+06"	C+	"3.63977237"	"6.01523448"	5	3		
"522.31825"	"4.03e+06"	C+	"3.63521992"	"6.00828827"	3	1		
"522.42994"	"2.8e+03"	E	"2.17594512"	"4.54850612"	7	9		
"522.55261"	"1.32e+03"	A	"0.11011433"	"2.48211840"	3	3		
"522.68612"	"1.36e+07"	B	"3.03847046"	"5.40986861"	5	5		
"522.71889"	"2.89e+06"	B+	"1.55735733"	"3.92860683"	7	5		
"522.83754"	"1.9e+06"	E	"4.22036211"	"6.59107351"	9	7		
"523.29398"	"1.94e+07"	B+	"2.93984587"	"5.30848946"	9	11		
"523.53870"	"3.75e+06"	D+	"4.07581091"	"6.44334733"	9	7		
"523.62017"	"2.58e+06"	C	"4.18636440"	"6.55353246"	5	3		
"524.24905"	"2.38e+06"	B	"3.63434980"	"5.99867825"	13	11		
"524.37758"	"2.0e+06"	D	"4.25622280"	"6.61997175"	7	9		
"524.70499"	"3.92e+02"	A	"0.08728574"	"2.44955978"	5	7		
"524.91049"	"1.2e+06"	E	"4.47327202"	"6.83462125"	7	7		
"525.02089"	"9.30e+02"	A	"0.12126572"	"2.48211840"	1	3		
"525.06454"	"2.28e+05"	D+	"2.19786640"	"4.55852281"	5	7		
"525.34617"	"2.15e+06"	B	"3.28302483"	"5.64241573"	3	3		
"525.49552"	"8.31e+02"	A	"0.11011433"	"2.46883473"	3	5		
"526.28812"	"8.7e+04"	E	"3.25148176"	"5.60664989"	7	7		
"526.33060"	"6.36e+06"	B	"3.26570610"	"5.62068415"	5	5		
"526.38644"	"1.96e+05"	C	"3.57321890"	"5.92794713"	11	9		
"526.65543"	"1.10e+07"	B	"2.99804479"	"5.35157038"	7	9		
"526.72688"	"6.77e+05"	C+	"4.37135106"	"6.72455738"	9	9		
"526.95366"	"1.27e+06"	A	"0.85899575"	"3.21118938"	11	9		
"527.03561"	"3.67e+06"	B+	"1.60789577"	"3.95972364"	5	3		
"527.31633"	"8.12e+06"	B	"3.29183986"	"5.64241573"	1	3		
"527.33727"	"5.55e+05"	D	"2.48437256"	"4.83485507"	1	3		
"528.03609"	"7.27e+05"	C+	"3.64164057"	"5.98901244"	7	5		
"528.17895"	"5.00e+06"	B	"3.03847046"	"5.38520741"	5	7		
"528.36207"	"1.02e+07"	B	"3.24096914"	"5.58689276"	7	7		
