ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"583.86698"	"6.5e+05"	D	"3.01114742"	"5.13405969"	3	5		
"584.45958"	"6.8e+05"	D	"3.01329987"	"5.13405969"	7	5		
"633.00913"	"2.9e+04"	D	"0.94143042"	"2.89953685"	5	7		
"663.00112"	"6.0e+03"	D	"1.03000806"	"2.89953685"	9	7		
"666.10739"	"1.1e+07"	D	"4.19265380"	"6.05346444"	9	9		
"666.92810"	"5.9e+06"	D	"4.17473732"	"6.03325810"	7	7		
"688.25069"	"1.19e+07"	B	"3.43793441"	"5.23887703"	5	5		
"688.30525"	"1.78e+07"	B	"3.43793441"	"5.23873429"	5	3		
"692.52694"	"9.3e+06"	D	"3.44926489"	"5.23908705"	7	7		
"697.83983"	"1.73e+07"	B	"3.46352849"	"5.23972421"	9	11		
"697.97942"	"5.9e+06"	D	"3.46352849"	"5.23936898"	9	9		
"698.09025"	"1.5e+06"	D	"3.46352849"	"5.23908705"	9	7		
"717.05290"	"2.5e+05"	E	"4.1055150"	"5.83411881"	9	11		
"735.58903"	"9.14e+06"	B	"2.88945207"	"4.57449693"	5	7		
"740.01798"	"1.35e+07"	B	"2.89953685"	"4.57449693"	7	7		
"891.62403"	"2.5e+05"	D	"3.89227274"	"5.28243456"	11	13		
"893.91918"	"9.9e+04"	D	"3.88753932"	"5.27413188"	5	7		
"895.57457"	"2.0e+05"	D	"3.8872001"	"5.27122963"	3	5		
