ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"844.6758"	"3.22e+07"	B	"9.5213638"	"10.9887923"	3	3		
"882.0423"	"2.93e+07"	B	"12.7284690"	"14.1337323"	5	7		
"920.4933"	"1.66e+03"	C	"10.7404756"	"12.0870382"	5	7		
"926.0806"	"4.46e+07"	A	"10.7402250"	"12.0786635"	3	1		
"926.0848"	"3.34e+07"	A	"10.7402250"	"12.0786574"	3	3		
"926.0936"	"1.56e+07"	A	"10.7402250"	"12.0786446"	3	5		
"926.2582"	"1.11e+07"	A	"10.7404756"	"12.0786574"	5	3		
"926.2670"	"2.60e+07"	A	"10.7404756"	"12.0786446"	5	5		
"926.2776"	"2.97e+07"	A	"10.7404756"	"12.0786294"	5	7		
"926.5826"	"2.97e+06"	A	"10.7409314"	"12.0786446"	7	5		
"926.5932"	"1.48e+07"	A	"10.7409314"	"12.0786294"	7	7		
"926.6006"	"4.45e+07"	A	"10.7409314"	"12.0786187"	7	9		
"948.2888"	"2.34e+07"	B	"12.7284690"	"14.0355624"	5	3		
"962.2114"	"5.22e+04"	C+	"12.7590208"	"14.0472014"	5	3		
"962.2156"	"1.57e+05"	C+	"12.7590265"	"14.0472014"	3	3		
"962.5261"	"3.25e+04"	C+	"12.7590123"	"14.0467717"	7	5		
"962.5296"	"1.85e+05"	C+	"12.7590123"	"14.0467669"	7	7		
"962.5325"	"1.45e+05"	C+	"12.7590208"	"14.0467717"	5	5		
"962.5360"	"2.32e+04"	C+	"12.7590208"	"14.0467669"	5	7		
"962.5367"	"3.13e+04"	C+	"12.7590265"	"14.0467717"	3	5		
"969.4661"	"4.54e+04"	C+	"11.8376056"	"13.1161465"	5	7		
"969.4906"	"4.54e+04"	C+	"11.8376056"	"13.1161142"	5	5		
"969.5060"	"4.54e+04"	C+	"11.8376056"	"13.1160938"	5	3		
"982.5789"	"2.24e+05"	C+	"12.0786187"	"13.3400972"	9	9		
"982.5789"	"1.34e+06"	C+	"12.0786187"	"13.3400972"	9	11		
"982.5789"	"1.92e+04"	C+	"12.0786187"	"13.3400972"	9	7		
"982.5872"	"4.03e+05"	C+	"12.0786294"	"13.3400972"	7	7		
"982.5872"	"1.12e+06"	C+	"12.0786294"	"13.3400972"	7	9		
"982.5872"	"5.37e+04"	C+	"12.0786294"	"13.3400972"	7	5		
"982.5991"	"9.21e+05"	C+	"12.0786446"	"13.3400972"	5	7		
"982.5991"	"8.95e+04"	C+	"12.0786446"	"13.3400972"	5	3		
"982.5991"	"5.37e+05"	C+	"12.0786446"	"13.3400972"	5	5		
"982.6090"	"6.27e+05"	C+	"12.0786574"	"13.3400972"	3	3		
"982.6090"	"7.52e+05"	C+	"12.0786574"	"13.3400972"	3	5		
"982.6137"	"6.27e+05"	C+	"12.0786635"	"13.3400972"	1	3		
"989.1647"	"1.08e+06"	C+	"12.0870184"	"13.3400981"	3	5		
"989.1715"	"1.14e+06"	C+	"12.0870271"	"13.3400981"	5	7		
"989.1715"	"2.00e+05"	C+	"12.0870271"	"13.3400981"	5	5		
"989.1803"	"5.63e+03"	C	"12.0870382"	"13.3400981"	7	5		
"989.1803"	"1.28e+06"	C+	"12.0870382"	"13.3400981"	7	9		
"989.1803"	"1.43e+05"	C+	"12.0870382"	"13.3400981"	7	7		
