ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"377.1434"	"1.9e+07"	E	"5.337929"	"8.624450"	14	14		
"377.2947"	"6.4e+06"	E	"3.859002"	"7.144205"	2	4		
"377.3855"	"2.5e+07"	E	"5.348588"	"8.633001"	12	12		
"377.4675"	"5.3e+06"	E	"3.843653"	"7.127352"	6	6		
"377.6301"	"5.0e+06"	E	"5.087255"	"8.369541"	10	12		
"377.6534"	"1.9e+05"	C	"2.114215"	"5.396298"	10	8		
"378.5434"	"9.8e+06"	E	"3.852985"	"7.127352"	4	6		
"378.6828"	"3.5e+06"	E	"4.605847"	"7.879009"	12	10		
"379.0207"	"5.65e+06"	B	"2.114215"	"5.384458"	10	10		
"379.8513"	"1.1e+06"	E	"4.794419"	"8.057512"	8	8		
"379.9252"	"1.35e+06"	B	"2.142695"	"5.405153"	8	6		
"380.0556"	"2.7e+07"	E	"3.843653"	"7.104991"	6	8		
"380.1898"	"6.4e+06"	E	"3.132553"	"6.392741"	12	12		
"380.3072"	"6.0e+05"	E	"4.331847"	"7.591028"	10	12		
"380.4018"	"2.8e+05"	E	"3.132553"	"6.390923"	12	10		
"380.6711"	"5.9e+07"	B	"2.114215"	"5.370280"	10	12		
"380.8505"	"5.7e+05"	E	"3.134449"	"6.388981"	6	8		
"380.9592"	"1.43e+07"	B	"2.142695"	"5.396298"	8	8		
"381.0680"	"5.3e+06"	E	"3.134449"	"6.387124"	6	6		
"381.1653"	"3.8e+05"	E	"3.135280"	"6.387124"	8	6		
"381.6741"	"4.19e+06"	B	"2.163713"	"5.411222"	6	4		
"382.3507"	"5.21e+07"	B	"2.142695"	"5.384458"	8	10		
"382.3887"	"2.31e+07"	B	"2.163713"	"5.405153"	6	6		
"382.6613"	"3.3e+05"	E	"3.072244"	"6.311376"	4	6		
"382.9718"	"1.03e+07"	B	"2.178214"	"5.414720"	4	2		
"383.3861"	"3.14e+07"	B	"2.178214"	"5.411222"	4	4		
"383.4362"	"4.29e+07"	B	"2.163713"	"5.396298"	6	8		
"383.7200"	"2.7e+06"	E	"4.827317"	"8.057512"	6	8		
"383.9819"	"4.64e+07"	B	"2.186728"	"5.414720"	2	2		
"384.1071"	"3.3e+07"	C	"2.178214"	"5.405153"	4	6		
"384.3984"	"2.11e+07"	B	"2.186728"	"5.411222"	2	4		
"384.5023"	"3.4e+06"	E	"4.331847"	"7.555469"	10	10		
"385.5106"	"3.2e+06"	E	"4.272913"	"7.488105"	4	4		
"387.0785"	"2.1e+06"	E	"4.665602"	"7.867771"	10	12		
"387.1683"	"9.7e+05"	E	"3.382518"	"6.583944"	2	4		
"387.2093"	"7.7e+06"	E	"4.665602"	"7.866690"	10	12		
"387.3179"	"1.1e+07"	E	"4.678819"	"7.879009"	8	10		
"387.6701"	"9.9e+05"	E	"4.353703"	"7.550985"	6	8		
"388.8830"	"4.2e+06"	E	"4.678819"	"7.866129"	8	10		
"388.9456"	"3.1e+07"	E	"5.348588"	"8.535385"	12	14		
